quarter,gold_usd,central_bank_net_purchase_tonnes,real_rate_10y_tips,broad_dollar_index,federal_debt_trillion_usd,us_cpi,nominal_gdp_billion_usd,consumer_sentiment,debt_to_gdp,weak_consumer_sentiment,cumulative_central_bank_purchase_tonnes,central_bank_purchase_4q_tonnes,real_gold_usd,fitted_gold_usd,residual_gold_usd,residual_pct_gold_usd
2019Q4,1486.5500000000002,117.91,0.15333333333333335,116.41376721311475,23.20138013480673,257.888,21933.217,97.2,1.0578192945798481,-97.2,2035.0600000000002,605.4100000000003,1891.3534991288213,1408.1231221495768,78.42687785042335,0.05569603724047968
2020Q1,1623.975,140.77,-0.06333333333333334,117.75593064516129,23.686870812640077,258.81766666666664,21751.237999999998,96.63333333333333,1.088989546831315,-96.63333333333333,2175.8300000000004,599.9500000000003,2058.779057425241,1389.3760365270862,234.59896347291374,0.16885202947599579
2020Q2,1691.05,63.74,-0.47666666666666674,121.8336421875,26.477240853124762,256.292,19958.291,74.06666666666666,1.3266286603960609,-74.06666666666666,2239.57,435.8800000000003,2164.9392724574577,1641.299590805446,49.75040919455387,0.030311595441353586
2020Q3,1865.775,-10.6,-0.94,117.3474875,26.945391194615148,259.22166666666664,21704.437,75.66666666666667,1.2414692532506209,-75.66666666666667,2228.9700000000003,311.8200000000003,2361.6323600457786,1816.8148481515996,48.96015184840053,0.02694834418499599
2020Q4,1899.475,61.04,-0.9133333333333334,113.91718,27.74779794766777,261.0916666666667,22087.16,79.8,1.2562863649137221,-79.8,2290.01,254.9500000000003,2387.068553158214,1852.046746291879,47.42825370812102,0.02560856188056844
2021Q1,1824.5500000000002,115.61,-0.86,112.36396166666668,28.13257030360016,263.74233333333336,22680.693,80.23333333333333,1.2403752523611233,-80.23333333333333,2405.6200000000003,229.79000000000028,2269.8661339286955,1841.278005069671,-16.72800506967087,-0.009084996955165339
2021Q2,1816.5500000000002,209.64,-0.7933333333333333,111.82601562500003,28.529435873139768,268.55033333333336,23425.91,85.56666666666666,1.2178581695712043,-85.56666666666666,2615.26,375.6900000000003,2219.4531423035537,1760.0142505017134,56.535749498286805,0.032122324851728105
2021Q3,1758.5666666666666,90.56,-1.0166666666666666,113.304753125,28.42891857004868,272.8296666666667,23982.379,74.76666666666667,1.1854086106323596,-74.76666666666667,2705.82,476.8500000000003,2114.9084120047223,1880.5133671585895,-121.94670049192291,-0.06484755844952139
2021Q4,1804.775,34.3,-1.0,114.96657213114754,29.61721485605175,278.77133333333336,24813.6,69.9,1.193587986267682,-69.9,2740.1200000000003,450.1100000000003,2124.2189276695117,2079.72247340038,-274.94747340037975,-0.1322039247625363
2022Q1,1870.25,82.44,-0.6433333333333333,115.49019354838708,30.400959928180967,284.9056666666667,25250.347,63.13333333333333,1.2039818671870515,-63.13333333333333,2822.5600000000004,416.9400000000003,2153.886906718832,2122.5647196998857,-252.3147196998857,-0.11887256834060686
2022Q2,1852.6,158.57,0.19999999999999998,118.96356507936505,30.56858202905895,291.6053333333333,25861.292,57.86666666666667,1.182020682843647,-57.86666666666667,2981.1300000000006,365.87000000000023,2084.54136252652,2043.9276038013857,-191.32760380138575,-0.09360781832269711
2022Q3,1739.9,456.91,0.6866666666666666,123.52842031249999,30.92891161330673,295.453,26336.304,56.1,1.174383148573419,-56.1,3438.0400000000004,732.2200000000003,1932.2361547634769,1616.3921000694734,123.50789993052672,0.0764096161601002
2022Q4,1716.525,382.1,1.4900000000000002,124.8129081967213,31.419689421557898,298.5416666666667,26770.514,58.79999999999999,1.1736677682601797,-58.79999999999999,3820.1400000000003,1080.0200000000002,1886.5551263363575,1822.2913067562358,-105.76630675623574,-0.058040284977545514
2023Q1,1873.65,290.42,1.3533333333333335,120.30960806451614,31.458437575028178,301.23033333333336,27216.445,64.60000000000001,1.1558613762755634,-64.60000000000001,4110.56,1288.0000000000002,2040.864094751414,2030.349566457927,-156.69956645792695,-0.07717861448425319
2023Q2,1982.2,176.34,1.3666666666666665,119.39654761904762,32.33227418476299,303.3976666666667,27530.055,62.300000000000004,1.1744355100185229,-62.300000000000004,4286.900000000001,1305.7700000000002,2143.678022353501,2362.1732893169324,-379.9732893169323,-0.16085749975896513
2023Q3,1961.275,367.26,1.8233333333333335,119.85063333333335,33.16733404472316,305.98900000000003,28074.846,69.56666666666666,1.1813897053869205,-69.56666666666666,4654.160000000001,1216.1200000000001,2103.0858350844856,2166.526426865335,-205.2514268653349,-0.09473755977318284
2023Q4,1934.4,216.79,2.15,121.54992295081965,34.00149365556548,308.195,28424.722,64.93333333333334,1.1961944132845161,-64.93333333333334,4870.950000000001,1050.81,2059.4204214863967,2574.3334969686643,-639.9334969686643,-0.24858220495604022
2024Q1,2026.775,313.27,1.873333333333333,120.64401290322581,34.58653347934988,311.00333333333333,28708.161,78.43333333333334,1.2047631152462146,-78.43333333333334,5184.220000000001,1073.6599999999999,2138.281186991565,2446.1649150307326,-419.3899150307325,-0.1714479315984562
2024Q2,2359.425,211.52,2.1166666666666667,122.51596031746028,34.83163443139347,313.0806666666667,29147.043999999998,71.5,1.1950314560678426,-71.5,5395.740000000002,1108.84,2472.7160454121517,2685.029551366778,-325.60455136677774,-0.12126665466345916
2024Q3,2488.25,201.0,1.7833333333333332,122.65020312500003,35.46467392917169,314.12100000000004,29511.664,68.13333333333334,1.2017171898260868,-68.13333333333334,5596.740000000002,942.5799999999999,2599.09025847789,2756.9676826331256,-268.7176826331256,-0.09746856458486979
2024Q4,2647.925,366.59,1.9766666666666666,125.77585806451614,36.218605311689906,316.5876666666667,29825.182,72.10000000000001,1.2143632622825202,-72.10000000000001,5963.330000000002,1092.3799999999999,2744.327945419015,2476.1872631463443,171.73773685365586,0.06935571449286873
2025Q1,2949.3500000000004,237.0,2.07,127.64460163934429,36.21431042017413,319.4750000000001,30042.112999999998,64.46666666666667,1.2054515080272195,-64.46666666666667,6200.330000000002,1016.1099999999999,3029.1010025301925,2718.893669163645,230.4563308363554,0.0847610678748043
2025Q2,3319.075,179.25,2.08,122.41503492063494,36.211469351821314,320.78566666666666,30485.729,55.03333333333334,1.1878170717787762,-55.03333333333334,6379.580000000002,983.8399999999999,3394.8956619788705,2981.3887975631314,337.68620243686837,0.11326473176288837
2025Q3,3483.625,226.25,1.88,120.237221875,37.63755349493561,323.235,31098.027000000002,58.333333333333336,1.2102875045717725,-58.333333333333336,6605.830000000002,1009.0899999999999,3536.204223062684,3142.082962148192,341.5420378518079,0.10869924249813602
2025Q4,4140.15,207.64,1.83,120.748735483871,38.51400918423272,325.547,31422.526,52.5,1.2256815121811886,-52.5,6813.470000000002,850.1400000000001,4172.791630855145,3331.7746117238244,808.3753882761753,0.2426260724334923
2026Q1,5007.525,243.66,1.88,119.06635081967214,39.06542139364082,328.1136666666667,31865.721,55.43333333333334,1.2259387256180652,-55.43333333333334,7057.130000000002,856.8000000000002,5007.525,3398.214144721915,1609.3108552780845,0.4735754683905533
